vm_type,a,b,c,d,e,f,g,h,i,j,k,l,<$auc,<$infer_time
1,0,0,0,0,0,0,0,0,0,0,0,0,0.040920716,0.285324097
1,0,0,0,0,0,0,0,0,0,0,0,1,0.040920716,0.278944731
1,0,0,0,0,0,0,0,0,0,0,1,0,0.040920716,0.284465551
1,0,0,0,0,0,0,0,0,0,0,1,1,0.040920716,0.283749819
1,0,0,0,0,0,0,0,0,0,1,0,0,0.040920716,0.280502081
1,0,0,0,0,0,0,0,0,0,1,0,1,0.040920716,0.284865856
1,0,0,0,0,0,0,0,0,0,1,1,0,0.040920716,0.281683445
1,0,0,0,0,0,0,0,0,0,1,1,1,0.040920716,0.283462286
1,0,0,0,0,0,0,0,0,1,0,0,0,0.040920716,0.284359932
1,0,0,0,0,0,0,0,0,1,0,0,1,0.040920716,0.288546562
1,0,0,0,0,0,0,0,0,1,0,1,0,0.040920716,0.280331373
1,0,0,0,0,0,0,0,0,1,0,1,1,0.040920716,0.284412861
1,0,0,0,0,0,0,0,0,1,1,0,0,0.040920716,0.28076911
1,0,0,0,0,0,0,0,0,1,1,0,1,0.040920716,0.281839132
1,0,0,0,0,0,0,0,0,1,1,1,0,0.040920716,0.284466267
1,0,0,0,0,0,0,0,0,1,1,1,1,0.040920716,0.278224468
1,0,0,0,0,0,0,0,1,0,0,0,0,0.040920716,0.283979893
1,0,0,0,0,0,0,0,1,0,0,0,1,0.040920716,0.282438517
1,0,0,0,0,0,0,0,1,0,0,1,0,0.040920716,0.283869267
1,0,0,0,0,0,0,0,1,0,0,1,1,0.040920716,0.284355164
1,0,0,0,0,0,0,0,1,0,1,0,0,0.033248082,0.279390812
1,0,0,0,0,0,0,0,1,0,1,0,1,0.040920716,0.283390284
1,0,0,0,0,0,0,0,1,0,1,1,0,0.040920716,0.282960176
1,0,0,0,0,0,0,0,1,0,1,1,1,0.040920716,0.287319183
1,0,0,0,0,0,0,0,1,1,0,0,0,0.040920716,0.282849073
1,0,0,0,0,0,0,0,1,1,0,0,1,0.040920716,0.283703327
1,0,0,0,0,0,0,0,1,1,0,1,0,0.040920716,0.287267208
1,0,0,0,0,0,0,0,1,1,0,1,1,0.040920716,0.282873631
1,0,0,0,0,0,0,0,1,1,1,0,0,0.040920716,0.28502965
1,0,0,0,0,0,0,0,1,1,1,0,1,0.040920716,0.281996489
1,0,0,0,0,0,0,0,1,1,1,1,0,0.040920716,0.286548376
1,0,0,0,0,0,0,0,1,1,1,1,1,0.040920716,0.286590338
1,0,0,0,0,0,0,1,0,0,0,0,0,0.040920716,0.323956251
1,0,0,0,0,0,0,1,0,0,0,0,1,0.040920716,0.328135014
1,0,0,0,0,0,0,1,0,0,0,1,0,0.040920716,0.323337793
1,0,0,0,0,0,0,1,0,0,0,1,1,0.040920716,0.324650764
1,0,0,0,0,0,0,1,0,0,1,0,0,0.040920716,0.328894377
1,0,0,0,0,0,0,1,0,0,1,0,1,0.040920716,0.331699848
1,0,0,0,0,0,0,1,0,0,1,1,0,0.040920716,0.328202486
1,0,0,0,0,0,0,1,0,0,1,1,1,0.040920716,0.327768564
1,0,0,0,0,0,0,1,0,1,0,0,0,0.040920716,0.325999022
1,0,0,0,0,0,0,1,0,1,0,0,1,0.040920716,0.326284409
1,0,0,0,0,0,0,1,0,1,0,1,0,0.040920716,0.327986956
1,0,0,0,0,0,0,1,0,1,0,1,1,0.040920716,0.326309204
1,0,0,0,0,0,0,1,0,1,1,0,0,0.040920716,0.330682516
1,0,0,0,0,0,0,1,0,1,1,0,1,0.040920716,0.323716402
1,0,0,0,0,0,0,1,0,1,1,1,0,0.040920716,0.326504707
1,0,0,0,0,0,0,1,0,1,1,1,1,0.040920716,0.326197147
1,0,0,0,0,0,0,1,1,0,0,0,0,0.040920716,0.324796438
1,0,0,0,0,0,0,1,1,0,0,0,1,0.040920716,0.326224089
1,0,0,0,0,0,0,1,1,0,0,1,0,0.040920716,0.324629307
1,0,0,0,0,0,0,1,1,0,0,1,1,0.040920716,0.323714018
1,0,0,0,0,0,0,1,1,0,1,0,0,0.040920716,0.323412418
1,0,0,0,0,0,0,1,1,0,1,0,1,0.017902813,0.324090004
1,0,0,0,0,0,0,1,1,0,1,1,0,0.040920716,0.325558424
1,0,0,0,0,0,0,1,1,0,1,1,1,0.040920716,0.328413248
1,0,0,0,0,0,0,1,1,1,0,0,0,0.040920716,0.32276392
1,0,0,0,0,0,0,1,1,1,0,0,1,0.040920716,0.324615717
1,0,0,0,0,0,0,1,1,1,0,1,0,0.040920716,0.33133626
1,0,0,0,0,0,0,1,1,1,0,1,1,0.040920716,0.328099728
1,0,0,0,0,0,0,1,1,1,1,0,0,0.040920716,0.325730085
1,0,0,0,0,0,0,1,1,1,1,0,1,0.040920716,0.326553583
1,0,0,0,0,0,0,1,1,1,1,1,0,0.040920716,0.324986696
1,0,0,0,0,0,0,1,1,1,1,1,1,0.040920716,0.32794261
1,0,0,0,0,0,1,0,0,0,0,0,0,0.030690537,0.819373846
1,0,0,0,0,0,1,0,0,0,0,0,1,0.030690537,0.825653553
1,0,0,0,0,0,1,0,0,0,0,1,0,0.030690537,0.819730043
1,0,0,0,0,0,1,0,0,0,0,1,1,0.030690537,0.817146301
1,0,0,0,0,0,1,0,0,0,1,0,0,0.030690537,0.81414175
1,0,0,0,0,0,1,0,0,0,1,0,1,0.030690537,0.822945833
1,0,0,0,0,0,1,0,0,0,1,1,0,0.030690537,0.82134366
1,0,0,0,0,0,1,0,0,0,1,1,1,0.030690537,0.815687418
1,0,0,0,0,0,1,0,0,1,0,0,0,0.030690537,0.817760468
1,0,0,0,0,0,1,0,0,1,0,0,1,0.030690537,0.818332911
1,0,0,0,0,0,1,0,0,1,0,1,0,0.030690537,0.817810297
1,0,0,0,0,0,1,0,0,1,0,1,1,0.030690537,0.819401741
1,0,0,0,0,0,1,0,0,1,1,0,0,0.030690537,0.817619801
1,0,0,0,0,0,1,0,0,1,1,0,1,0.030690537,0.814182997
1,0,0,0,0,0,1,0,0,1,1,1,0,0.030690537,0.819974899
1,0,0,0,0,0,1,0,0,1,1,1,1,0.030690537,0.818506002
1,0,0,0,0,0,1,0,1,0,0,0,0,0.040920716,0.817121983
1,0,0,0,0,0,1,0,1,0,0,0,1,0.040920716,0.81628561
1,0,0,0,0,0,1,0,1,0,0,1,0,0.040920716,0.820927143
1,0,0,0,0,0,1,0,1,0,0,1,1,0.040920716,0.824691772
1,0,0,0,0,0,1,0,1,0,1,0,0,0.017902813,0.821882725
1,0,0,0,0,0,1,0,1,0,1,0,1,0.028132992,0.818751335
1,0,0,0,0,0,1,0,1,0,1,1,0,0.028132992,0.818780184
1,0,0,0,0,0,1,0,1,0,1,1,1,0.028132992,0.817712545
1,0,0,0,0,0,1,0,1,1,0,0,0,0.040920716,0.819919109
1,0,0,0,0,0,1,0,1,1,0,0,1,0.040920716,0.817438126
1,0,0,0,0,0,1,0,1,1,0,1,0,0.040920716,0.819070578
1,0,0,0,0,0,1,0,1,1,0,1,1,0.040920716,0.819580793
1,0,0,0,0,0,1,0,1,1,1,0,0,0.040920716,0.819403172
1,0,0,0,0,0,1,0,1,1,1,0,1,0.040920716,0.824672937
1,0,0,0,0,0,1,0,1,1,1,1,0,0.040920716,0.818024874
1,0,0,0,0,0,1,0,1,1,1,1,1,0.040920716,0.822837591
1,0,0,0,0,0,1,1,0,0,0,0,0,0.030690537,1.082602978
1,0,0,0,0,0,1,1,0,0,0,0,1,0.030690537,1.077378511
1,0,0,0,0,0,1,1,0,0,0,1,0,0.030690537,1.082788467
1,0,0,0,0,0,1,1,0,0,0,1,1,0.030690537,1.080768347
1,0,0,0,0,0,1,1,0,0,1,0,0,0.030690537,1.084959745
1,0,0,0,0,0,1,1,0,0,1,0,1,0.030690537,1.087132454
1,0,0,0,0,0,1,1,0,0,1,1,0,0.030690537,1.082984924
1,0,0,0,0,0,1,1,0,0,1,1,1,0.030690537,1.084162235
1,0,0,0,0,0,1,1,0,1,0,0,0,0.030690537,1.084396124
1,0,0,0,0,0,1,1,0,1,0,0,1,0.030690537,1.082526684
1,0,0,0,0,0,1,1,0,1,0,1,0,0.030690537,1.087812185
1,0,0,0,0,0,1,1,0,1,0,1,1,0.030690537,1.088526964
1,0,0,0,0,0,1,1,0,1,1,0,0,0.030690537,1.088026285
1,0,0,0,0,0,1,1,0,1,1,0,1,0.030690537,1.084102392
1,0,0,0,0,0,1,1,0,1,1,1,0,0.030690537,1.083463669
