vm_type,a,b,c,d,e,f,g,h,i,j,k,l,<$auc,<$infer_time
1,0,0,0,0,0,1,1,0,1,1,1,1,0.030690537,1.088240862
1,0,0,0,0,0,1,1,1,0,0,0,0,0.040920716,1.082248688
1,0,0,0,0,0,1,1,1,0,0,0,1,0.040920716,1.089840412
1,0,0,0,0,0,1,1,1,0,0,1,0,0.040920716,1.08143568
1,0,0,0,0,0,1,1,1,0,0,1,1,0.040920716,1.083543539
1,0,0,0,0,0,1,1,1,0,1,0,0,0.017902813,1.087312937
1,0,0,0,0,0,1,1,1,0,1,0,1,0.028132992,1.085319996
1,0,0,0,0,0,1,1,1,0,1,1,0,0.028132992,1.084103107
1,0,0,0,0,0,1,1,1,0,1,1,1,0.028132992,1.086111784
1,0,0,0,0,0,1,1,1,1,0,0,0,0.040920716,1.082453012
1,0,0,0,0,0,1,1,1,1,0,0,1,0.040920716,1.084783792
1,0,0,0,0,0,1,1,1,1,0,1,0,0.040920716,1.083447695
1,0,0,0,0,0,1,1,1,1,0,1,1,0.040920716,1.079084158
1,0,0,0,0,0,1,1,1,1,1,0,0,0.040920716,1.087643147
1,0,0,0,0,0,1,1,1,1,1,0,1,0.040920716,1.080596685
1,0,0,0,0,0,1,1,1,1,1,1,0,0.040920716,1.08150959
1,0,0,0,0,0,1,1,1,1,1,1,1,0.040920716,1.087614775
1,0,0,0,0,1,0,0,0,0,0,0,0,0.023017903,0.323165417
1,0,0,0,0,1,0,0,0,0,0,0,1,0.023017903,0.321187019
1,0,0,0,0,1,0,0,0,0,0,1,0,0.023017903,0.327889919
1,0,0,0,0,1,0,0,0,0,0,1,1,0.023017903,0.324431658
1,0,0,0,0,1,0,0,0,0,1,0,0,0.023017903,0.326217413
1,0,0,0,0,1,0,0,0,0,1,0,1,0.023017903,0.327697754
1,0,0,0,0,1,0,0,0,0,1,1,0,0.023017903,0.326575756
1,0,0,0,0,1,0,0,0,0,1,1,1,0.023017903,0.323668718
1,0,0,0,0,1,0,0,0,1,0,0,0,0.023017903,0.324877262
1,0,0,0,0,1,0,0,0,1,0,0,1,0.023017903,0.32895875
1,0,0,0,0,1,0,0,0,1,0,1,0,0.023017903,0.323265791
1,0,0,0,0,1,0,0,0,1,0,1,1,0.023017903,0.326448679
1,0,0,0,0,1,0,0,0,1,1,0,0,0.023017903,0.324261665
1,0,0,0,0,1,0,0,0,1,1,0,1,0.023017903,0.324477911
1,0,0,0,0,1,0,0,0,1,1,1,0,0.023017903,0.327082634
1,0,0,0,0,1,0,0,0,1,1,1,1,0.023017903,0.325972557
1,0,0,0,0,1,0,0,1,0,0,0,0,0.040920716,0.326986074
1,0,0,0,0,1,0,0,1,0,0,0,1,0.040920716,0.323106766
1,0,0,0,0,1,0,0,1,0,0,1,0,0.040920716,0.325532436
1,0,0,0,0,1,0,0,1,0,0,1,1,0.040920716,0.323885441
1,0,0,0,0,1,0,0,1,0,1,0,0,0.040920716,0.328226805
1,0,0,0,0,1,0,0,1,0,1,0,1,0.040920716,0.32770443
1,0,0,0,0,1,0,0,1,0,1,1,0,0.040920716,0.325395346
1,0,0,0,0,1,0,0,1,0,1,1,1,0.040920716,0.328302622
1,0,0,0,0,1,0,0,1,1,0,0,0,0.040920716,0.323484659
1,0,0,0,0,1,0,0,1,1,0,0,1,0.040920716,0.329493999
1,0,0,0,0,1,0,0,1,1,0,1,0,0.040920716,0.325623989
1,0,0,0,0,1,0,0,1,1,0,1,1,0.040920716,0.326714516
1,0,0,0,0,1,0,0,1,1,1,0,0,0.040920716,0.3239851
1,0,0,0,0,1,0,0,1,1,1,0,1,0.040920716,0.327699661
1,0,0,0,0,1,0,0,1,1,1,1,0,0.040920716,0.325085878
1,0,0,0,0,1,0,0,1,1,1,1,1,0.040920716,0.326458931
1,0,0,0,0,1,0,1,0,0,0,0,0,0.017902813,0.368637323
1,0,0,0,0,1,0,1,0,0,0,0,1,0.017902813,0.364381075
1,0,0,0,0,1,0,1,0,0,0,1,0,0.017902813,0.368022203
1,0,0,0,0,1,0,1,0,0,0,1,1,0.017902813,0.365437508
1,0,0,0,0,1,0,1,0,0,1,0,0,0.017902813,0.361210585
1,0,0,0,0,1,0,1,0,0,1,0,1,0.017902813,0.364421606
1,0,0,0,0,1,0,1,0,0,1,1,0,0.017902813,0.365298748
1,0,0,0,0,1,0,1,0,0,1,1,1,0.017902813,0.367791653
1,0,0,0,0,1,0,1,0,1,0,0,0,0.017902813,0.361897469
1,0,0,0,0,1,0,1,0,1,0,0,1,0.017902813,0.367727995
1,0,0,0,0,1,0,1,0,1,0,1,0,0.017902813,0.368486166
1,0,0,0,0,1,0,1,0,1,0,1,1,0.017902813,0.368579626
1,0,0,0,0,1,0,1,0,1,1,0,0,0.017902813,0.366632938
1,0,0,0,0,1,0,1,0,1,1,0,1,0.017902813,0.372732878
1,0,0,0,0,1,0,1,0,1,1,1,0,0.017902813,0.368736982
1,0,0,0,0,1,0,1,0,1,1,1,1,0.017902813,0.365151882
1,0,0,0,0,1,0,1,1,0,0,0,0,0.040920716,0.365623474
1,0,0,0,0,1,0,1,1,0,0,0,1,0.040920716,0.372577667
1,0,0,0,0,1,0,1,1,0,0,1,0,0.040920716,0.363097668
1,0,0,0,0,1,0,1,1,0,0,1,1,0.040920716,0.367106438
1,0,0,0,0,1,0,1,1,0,1,0,0,0.040920716,0.368020773
1,0,0,0,0,1,0,1,1,0,1,0,1,0.040920716,0.370486736
1,0,0,0,0,1,0,1,1,0,1,1,0,0.040920716,0.370634794
1,0,0,0,0,1,0,1,1,0,1,1,1,0.040920716,0.3651371
1,0,0,0,0,1,0,1,1,1,0,0,0,0.040920716,0.366963625
1,0,0,0,0,1,0,1,1,1,0,0,1,0.040920716,0.367594481
1,0,0,0,0,1,0,1,1,1,0,1,0,0.040920716,0.364978313
1,0,0,0,0,1,0,1,1,1,0,1,1,0.040920716,0.368971348
1,0,0,0,0,1,0,1,1,1,1,0,0,0.040920716,0.36712718
1,0,0,0,0,1,0,1,1,1,1,0,1,0.040920716,0.363199949
1,0,0,0,0,1,0,1,1,1,1,1,0,0.040920716,0.371201515
1,0,0,0,0,1,0,1,1,1,1,1,1,0.040920716,0.364504576
1,0,0,0,0,1,1,0,0,0,0,0,0,0.040920716,0.864498377
1,0,0,0,0,1,1,0,0,0,0,0,1,0.040920716,0.868641615
1,0,0,0,0,1,1,0,0,0,0,1,0,0.040920716,0.865487099
1,0,0,0,0,1,1,0,0,0,0,1,1,0.040920716,0.86040163
1,0,0,0,0,1,1,0,0,0,1,0,0,0.040920716,0.863222837
1,0,0,0,0,1,1,0,0,0,1,0,1,0.040920716,0.861117363
1,0,0,0,0,1,1,0,0,0,1,1,0,0.040920716,0.863118887
1,0,0,0,0,1,1,0,0,0,1,1,1,0.040920716,0.864233017
1,0,0,0,0,1,1,0,0,1,0,0,0,0.040920716,0.866847992
1,0,0,0,0,1,1,0,0,1,0,0,1,0.040920716,0.86946559
1,0,0,0,0,1,1,0,0,1,0,1,0,0.040920716,0.868085861
1,0,0,0,0,1,1,0,0,1,0,1,1,0.040920716,0.86440587
1,0,0,0,0,1,1,0,0,1,1,0,0,0.040920716,0.869630814
1,0,0,0,0,1,1,0,0,1,1,0,1,0.040920716,0.866409063
1,0,0,0,0,1,1,0,0,1,1,1,0,0.040920716,0.86980319
1,0,0,0,0,1,1,0,0,1,1,1,1,0.040920716,0.864879131
1,0,0,0,0,1,1,0,1,0,0,0,0,0.040920716,0.866421938
1,0,0,0,0,1,1,0,1,0,0,0,1,0.040920716,0.86497426
1,0,0,0,0,1,1,0,1,0,0,1,0,0.040920716,0.868588448
1,0,0,0,0,1,1,0,1,0,0,1,1,0.040920716,0.865621567
1,0,0,0,0,1,1,0,1,0,1,0,0,0.017902813,0.867529869
1,0,0,0,0,1,1,0,1,0,1,0,1,0.028132992,0.864138603
1,0,0,0,0,1,1,0,1,0,1,1,0,0.028132992,0.866431952
1,0,0,0,0,1,1,0,1,0,1,1,1,0.028132992,0.870800018
1,0,0,0,0,1,1,0,1,1,0,0,0,0.040920716,0.86473155
1,0,0,0,0,1,1,0,1,1,0,0,1,0.040920716,0.866640806
1,0,0,0,0,1,1,0,1,1,0,1,0,0.040920716,0.866294146
1,0,0,0,0,1,1,0,1,1,0,1,1,0.040920716,0.866940498
1,0,0,0,0,1,1,0,1,1,1,0,0,0.040920716,0.865988493
1,0,0,0,0,1,1,0,1,1,1,0,1,0.040920716,0.863169432
1,0,0,0,0,1,1,0,1,1,1,1,0,0.040920716,0.867823839
1,0,0,0,0,1,1,0,1,1,1,1,1,0.040920716,0.864130735
1,0,0,0,0,1,1,1,0,0,0,0,0,0.023017903,1.133393526
1,0,0,0,0,1,1,1,0,0,0,0,1,0.023017903,1.128779888
1,0,0,0,0,1,1,1,0,0,0,1,0,0.023017903,1.131305456
1,0,0,0,0,1,1,1,0,0,0,1,1,0.023017903,1.129064322
1,0,0,0,0,1,1,1,0,0,1,0,0,0.023017903,1.127965212
1,0,0,0,0,1,1,1,0,0,1,0,1,0.023017903,1.12587285
1,0,0,0,0,1,1,1,0,0,1,1,0,0.023017903,1.134499311
1,0,0,0,0,1,1,1,0,0,1,1,1,0.023017903,1.136315823
1,0,0,0,0,1,1,1,0,1,0,0,0,0.023017903,1.130436659
1,0,0,0,0,1,1,1,0,1,0,0,1,0.023017903,1.130923986
1,0,0,0,0,1,1,1,0,1,0,1,0,0.023017903,1.133064747
1,0,0,0,0,1,1,1,0,1,0,1,1,0.023017903,1.133471727
1,0,0,0,0,1,1,1,0,1,1,0,0,0.023017903,1.134817123
1,0,0,0,0,1,1,1,0,1,1,0,1,0.023017903,1.140528917
1,0,0,0,0,1,1,1,0,1,1,1,0,0.023017903,1.136035442
1,0,0,0,0,1,1,1,0,1,1,1,1,0.023017903,1.137463808
1,0,0,0,0,1,1,1,1,0,0,0,0,0.040920716,1.132205486
1,0,0,0,0,1,1,1,1,0,0,0,1,0.040920716,1.132597685
1,0,0,0,0,1,1,1,1,0,0,1,0,0.040920716,1.13082552
1,0,0,0,0,1,1,1,1,0,0,1,1,0.040920716,1.134390831
1,0,0,0,0,1,1,1,1,0,1,0,0,0.017902813,1.12917304
1,0,0,0,0,1,1,1,1,0,1,0,1,0.028132992,1.128390551
1,0,0,0,0,1,1,1,1,0,1,1,0,0.028132992,1.133322239
1,0,0,0,0,1,1,1,1,0,1,1,1,0.028132992,1.133470058
1,0,0,0,0,1,1,1,1,1,0,0,0,0.040920716,1.133646727
1,0,0,0,0,1,1,1,1,1,0,0,1,0.040920716,1.126275539
1,0,0,0,0,1,1,1,1,1,0,1,0,0.040920716,1.131048441
1,0,0,0,0,1,1,1,1,1,0,1,1,0.040920716,1.127106428
1,0,0,0,0,1,1,1,1,1,1,0,0,0.040920716,1.126725674
1,0,0,0,0,1,1,1,1,1,1,0,1,0.040920716,1.133734703
1,0,0,0,0,1,1,1,1,1,1,1,0,0.040920716,1.129497528
1,0,0,0,0,1,1,1,1,1,1,1,1,0.040920716,1.126821518
1,0,0,0,1,0,0,0,0,0,0,0,0,0.025575448,0.888329029
1,0,0,0,1,0,0,0,0,0,0,0,1,0.025575448,0.882514
1,0,0,0,1,0,0,0,0,0,0,1,0,0.025575448,0.884384632
1,0,0,0,1,0,0,0,0,0,0,1,1,0.025575448,0.895237207
1,0,0,0,1,0,0,0,0,0,1,0,0,0.025575448,0.887109041
1,0,0,0,1,0,0,0,0,0,1,0,1,0.025575448,0.884381294
1,0,0,0,1,0,0,0,0,0,1,1,0,0.025575448,0.883656502
1,0,0,0,1,0,0,0,0,0,1,1,1,0.025575448,0.881323338
1,0,0,0,1,0,0,0,0,1,0,0,0,0.025575448,0.887110233
1,0,0,0,1,0,0,0,0,1,0,0,1,0.025575448,0.888225555
1,0,0,0,1,0,0,0,0,1,0,1,0,0.025575448,0.89038682
1,0,0,0,1,0,0,0,0,1,0,1,1,0.025575448,0.883802176
1,0,0,0,1,0,0,0,0,1,1,0,0,0.025575448,0.882842779
1,0,0,0,1,0,0,0,0,1,1,0,1,0.025575448,0.88393712
1,0,0,0,1,0,0,0,0,1,1,1,0,0.025575448,0.891515255
1,0,0,0,1,0,0,0,0,1,1,1,1,0.025575448,0.881157875
1,0,0,0,1,0,0,0,1,0,0,0,0,0.040920716,0.883222103
1,0,0,0,1,0,0,0,1,0,0,0,1,0.040920716,0.89036417
1,0,0,0,1,0,0,0,1,0,0,1,0,0.040920716,0.882594824
1,0,0,0,1,0,0,0,1,0,0,1,1,0.040920716,0.888455391
1,0,0,0,1,0,0,0,1,0,1,0,0,0.017902813,0.883958817
1,0,0,0,1,0,0,0,1,0,1,0,1,0.040920716,0.889251232
1,0,0,0,1,0,0,0,1,0,1,1,0,0.040920716,0.888252258
1,0,0,0,1,0,0,0,1,0,1,1,1,0.040920716,0.889445305
1,0,0,0,1,0,0,0,1,1,0,0,0,0.040920716,0.883113146
1,0,0,0,1,0,0,0,1,1,0,0,1,0.040920716,0.88977623
1,0,0,0,1,0,0,0,1,1,0,1,0,0.040920716,0.886138439
1,0,0,0,1,0,0,0,1,1,0,1,1,0.040920716,0.887862921
1,0,0,0,1,0,0,0,1,1,1,0,0,0.040920716,0.886899948
1,0,0,0,1,0,0,0,1,1,1,0,1,0.040920716,0.888323069
1,0,0,0,1,0,0,0,1,1,1,1,0,0.040920716,0.884658575
1,0,0,0,1,0,0,0,1,1,1,1,1,0.040920716,0.884628773
1,0,0,0,1,0,0,1,0,0,0,0,0,0.010230179,1.330036879
1,0,0,0,1,0,0,1,0,0,0,0,1,0.010230179,1.343068123
1,0,0,0,1,0,0,1,0,0,0,1,0,0.010230179,1.335328817
1,0,0,0,1,0,0,1,0,0,0,1,1,0.010230179,1.333239555
1,0,0,0,1,0,0,1,0,0,1,0,0,0.010230179,1.334353924
1,0,0,0,1,0,0,1,0,0,1,0,1,0.010230179,1.341114759
1,0,0,0,1,0,0,1,0,0,1,1,0,0.010230179,1.333961487
1,0,0,0,1,0,0,1,0,0,1,1,1,0.010230179,1.337358236
1,0,0,0,1,0,0,1,0,1,0,0,0,0.010230179,1.333708048
1,0,0,0,1,0,0,1,0,1,0,0,1,0.010230179,1.336954117
1,0,0,0,1,0,0,1,0,1,0,1,0,0.010230179,1.335553646
1,0,0,0,1,0,0,1,0,1,0,1,1,0.010230179,1.334693193
1,0,0,0,1,0,0,1,0,1,1,0,0,0.010230179,1.334550142
1,0,0,0,1,0,0,1,0,1,1,0,1,0.010230179,1.332649231
1,0,0,0,1,0,0,1,0,1,1,1,0,0.010230179,1.333121777
1,0,0,0,1,0,0,1,0,1,1,1,1,0.010230179,1.334683895
1,0,0,0,1,0,0,1,1,0,0,0,0,0.040920716,1.332668066
1,0,0,0,1,0,0,1,1,0,0,0,1,0.040920716,1.335522175
1,0,0,0,1,0,0,1,1,0,0,1,0,0.040920716,1.332543373
1,0,0,0,1,0,0,1,1,0,0,1,1,0.040920716,1.336845875
1,0,0,0,1,0,0,1,1,0,1,0,0,0.017902813,1.335277319
1,0,0,0,1,0,0,1,1,0,1,0,1,0.017902813,1.333348274
1,0,0,0,1,0,0,1,1,0,1,1,0,0.040920716,1.333016872
1,0,0,0,1,0,0,1,1,0,1,1,1,0.040920716,1.333063841
1,0,0,0,1,0,0,1,1,1,0,0,0,0.040920716,1.331793547
1,0,0,0,1,0,0,1,1,1,0,0,1,0.040920716,1.333160877
1,0,0,0,1,0,0,1,1,1,0,1,0,0.040920716,1.329203606
1,0,0,0,1,0,0,1,1,1,0,1,1,0.040920716,1.335743427
1,0,0,0,1,0,0,1,1,1,1,0,0,0.040920716,1.328816414
1,0,0,0,1,0,0,1,1,1,1,0,1,0.040920716,1.33330369
1,0,0,0,1,0,0,1,1,1,1,1,0,0.040920716,1.330405951
1,0,0,0,1,0,0,1,1,1,1,1,1,0.040920716,1.337047815
1,0,0,0,1,0,1,0,0,0,0,0,0,0.030690537,1.78842926
1,0,0,0,1,0,1,0,0,0,0,0,1,0.030690537,1.791049004
1,0,0,0,1,0,1,0,0,0,0,1,0,0.030690537,1.794498444
1,0,0,0,1,0,1,0,0,0,0,1,1,0.030690537,1.799536943
1,0,0,0,1,0,1,0,0,0,1,0,0,0.030690537,1.793764114
1,0,0,0,1,0,1,0,0,0,1,0,1,0.030690537,1.792394161
1,0,0,0,1,0,1,0,0,0,1,1,0,0.030690537,1.80061841
1,0,0,0,1,0,1,0,0,0,1,1,1,0.030690537,1.788748741
1,0,0,0,1,0,1,0,0,1,0,0,0,0.030690537,1.801731348
1,0,0,0,1,0,1,0,0,1,0,0,1,0.030690537,1.793484449
1,0,0,0,1,0,1,0,0,1,0,1,0,0.030690537,1.792771339
1,0,0,0,1,0,1,0,0,1,0,1,1,0.030690537,1.793614388
1,0,0,0,1,0,1,0,0,1,1,0,0,0.030690537,1.803556204
1,0,0,0,1,0,1,0,0,1,1,0,1,0.030690537,1.796128035
1,0,0,0,1,0,1,0,0,1,1,1,0,0.030690537,1.795629025
1,0,0,0,1,0,1,0,0,1,1,1,1,0.030690537,1.791888952
1,0,0,0,1,0,1,0,1,0,0,0,0,0.040920716,1.793633699
1,0,0,0,1,0,1,0,1,0,0,0,1,0.040920716,1.790606976
1,0,0,0,1,0,1,0,1,0,0,1,0,0.040920716,1.797626972
1,0,0,0,1,0,1,0,1,0,0,1,1,0.040920716,1.799484015
1,0,0,0,1,0,1,0,1,0,1,0,0,0.017902813,1.797558308
1,0,0,0,1,0,1,0,1,0,1,0,1,0.017902813,1.791718483
1,0,0,0,1,0,1,0,1,0,1,1,0,0.028132992,1.800191402
1,0,0,0,1,0,1,0,1,0,1,1,1,0.028132992,1.790970325
1,0,0,0,1,0,1,0,1,1,0,0,0,0.040920716,1.796365023
1,0,0,0,1,0,1,0,1,1,0,0,1,0.040920716,1.797598362
1,0,0,0,1,0,1,0,1,1,0,1,0,0.040920716,1.796009064
1,0,0,0,1,0,1,0,1,1,0,1,1,0.040920716,1.788995981
1,0,0,0,1,0,1,0,1,1,1,0,0,0.040920716,1.793656349
1,0,0,0,1,0,1,0,1,1,1,0,1,0.040920716,1.785080671
1,0,0,0,1,0,1,0,1,1,1,1,0,0.040920716,1.789409637
1,0,0,0,1,0,1,0,1,1,1,1,1,0.040920716,1.790802479
1,0,0,0,1,0,1,1,0,0,0,0,0,0.030690537,3.994393826
1,0,0,0,1,0,1,1,0,0,0,0,1,0.030690537,3.997888327
1,0,0,0,1,0,1,1,0,0,0,1,0,0.030690537,3.999729633
1,0,0,0,1,0,1,1,0,0,0,1,1,0.030690537,3.99276185
1,0,0,0,1,0,1,1,0,0,1,0,0,0.030690537,3.993101835
1,0,0,0,1,0,1,1,0,0,1,0,1,0.030690537,3.998561382
1,0,0,0,1,0,1,1,0,0,1,1,0,0.030690537,3.995509624
1,0,0,0,1,0,1,1,0,0,1,1,1,0.030690537,3.993040085
1,0,0,0,1,0,1,1,0,1,0,0,0,0.030690537,3.993463993
1,0,0,0,1,0,1,1,0,1,0,0,1,0.030690537,3.998627901
1,0,0,0,1,0,1,1,0,1,0,1,0,0.030690537,3.981980562
1,0,0,0,1,0,1,1,0,1,0,1,1,0.030690537,3.994440079
1,0,0,0,1,0,1,1,0,1,1,0,0,0.030690537,3.99258399
1,0,0,0,1,0,1,1,0,1,1,0,1,0.030690537,3.990298986
